"","codigo","ano","MULHERES_COM_MAIS_3_PARTOS"
"264","150745","2021","19"
"265","150746","2021","13"
"266","150747","2021","18"
"267","150750","2021","23"
"268","150760","2021","27"
"269","150770","2021","30"
"270","150775","2021","6"
"271","150780","2021","30"
"272","150790","2021","21"
"273","150795","2021","121"
"274","150796","2021","4"
"275","150797","2021","23"
"276","150800","2021","140"
"277","150803","2021","21"
"278","150805","2021","12"
"279","150808","2021","33"
"280","150810","2021","72"
"281","150812","2021","23"
"282","150815","2021","34"
"283","150820","2021","29"
"284","150830","2021","136"
"285","150835","2021","26"
"286","150840","2021","30"
"287","160005","2021","7"
"288","160010","2021","22"
"289","160015","2021","61"
"290","160020","2021","36"
"291","160021","2021","22"
"292","160023","2021","27"
"293","160025","2021","30"
"294","160027","2021","45"
"295","160030","2021","819"
"296","160040","2021","93"
"297","160050","2021","90"
"298","160053","2021","59"
"299","160055","2021","20"
"300","160060","2021","182"
"301","160070","2021","62"
"302","160080","2021","33"
"303","170030","2021","3"
"304","170035","2021","5"
"305","170040","2021","8"
"306","170070","2021","1"
"307","170100","2021","6"
"308","170105","2021","1"
"309","170110","2021","4"
"310","170130","2021","5"
"311","170190","2021","4"
"312","170200","2021","5"
"313","170210","2021","103"
"314","170215","2021","5"
"315","170220","2021","25"
"316","170230","2021","4"
"317","170240","2021","4"
"318","170255","2021","17"
"319","170270","2021","5"
"320","170290","2021","10"
"321","170300","2021","9"
"322","170305","2021","3"
"323","170307","2021","9"
"324","170310","2021","3"
"325","170330","2021","4"
"326","170360","2021","1"
"327","170370","2021","3"
"328","170380","2021","10"
"329","170382","2021","3"
"330","170384","2021","15"
"331","170386","2021","1"
"332","170388","2021","1"
"333","170389","2021","6"
"334","170390","2021","3"
"335","170510","2021","3"
"336","170550","2021","27"
"337","170555","2021","3"
"338","170560","2021","3"
"339","170600","2021","7"
"340","170610","2021","1"
"341","170650","2021","3"
"342","170700","2021","24"
"343","170710","2021","2"
"344","170720","2021","3"
"345","170730","2021","4"
"346","170740","2021","14"
"347","170755","2021","4"
"348","170765","2021","1"
"349","170770","2021","4"
"350","170820","2021","20"
"351","170825","2021","2"
"352","170830","2021","1"
"353","170900","2021","31"
"354","170930","2021","6"
"355","170950","2021","48"
"356","170980","2021","4"
"357","171050","2021","8"
"358","171070","2021","3"
"359","171090","2021","5"
"360","171110","2021","1"
"361","171150","2021","1"
"362","171180","2021","2"
"363","171190","2021","24"
"364","171195","2021","6"
"365","171200","2021","3"
"366","171240","2021","5"
"367","171245","2021","3"
"368","171250","2021","2"
"369","171270","2021","3"
"370","171280","2021","2"
"371","171320","2021","9"
"372","171330","2021","9"
"373","171360","2021","7"
"374","171380","2021","3"
"375","171395","2021","3"
"376","171420","2021","6"
"377","171430","2021","2"
"378","171488","2021","9"
"379","171500","2021","2"
"380","171510","2021","9"
"381","171525","2021","7"
"382","171550","2021","1"
"383","171570","2021","4"
"384","171575","2021","2"
"385","171610","2021","25"
"386","171620","2021","9"
"387","171630","2021","4"
"388","171650","2021","8"
"389","171660","2021","6"
"390","171665","2021","2"
"391","171670","2021","3"
"392","171700","2021","3"
"393","171720","2021","1"
"394","171750","2021","6"
"395","171780","2021","2"
"396","171790","2021","16"
"397","171800","2021","2"
"398","171820","2021","55"
"399","171830","2021","2"
"400","171840","2021","3"
"401","171850","2021","6"
"402","171855","2021","5"
"403","171870","2021","2"
"404","171875","2021","4"
