"","codigo","ano","MULHERES_MENOS_DE_4_ANOS_DE_ESTUDO"
"230","150563","2021","4"
"231","150565","2021","16"
"232","150570","2021","18"
"233","150580","2021","225"
"234","150590","2021","69"
"235","150600","2021","31"
"236","150610","2021","12"
"237","150611","2021","5"
"238","150613","2021","33"
"239","150616","2021","6"
"240","150618","2021","13"
"241","150619","2021","14"
"242","150620","2021","19"
"243","150630","2021","7"
"244","150635","2021","10"
"245","150640","2021","5"
"246","150650","2021","16"
"247","150655","2021","9"
"248","150658","2021","4"
"249","150660","2021","9"
"250","150670","2021","20"
"251","150680","2021","69"
"252","150690","2021","3"
"253","150700","2021","7"
"254","150710","2021","4"
"255","150715","2021","13"
"256","150720","2021","29"
"257","150730","2021","46"
"258","150740","2021","7"
"259","150745","2021","11"
"260","150746","2021","6"
"261","150747","2021","11"
"262","150750","2021","16"
"263","150760","2021","43"
"264","150770","2021","22"
"265","150775","2021","5"
"266","150780","2021","24"
"267","150790","2021","11"
"268","150795","2021","76"
"269","150796","2021","7"
"270","150797","2021","3"
"271","150800","2021","109"
"272","150803","2021","10"
"273","150805","2021","6"
"274","150808","2021","33"
"275","150810","2021","26"
"276","150812","2021","12"
"277","150815","2021","29"
"278","150820","2021","17"
"279","150830","2021","76"
"280","150835","2021","17"
"281","150840","2021","20"
"282","160005","2021","1"
"283","160010","2021","5"
"284","160015","2021","21"
"285","160020","2021","3"
"286","160021","2021","1"
"287","160023","2021","9"
"288","160025","2021","6"
"289","160027","2021","20"
"290","160030","2021","123"
"291","160040","2021","52"
"292","160050","2021","38"
"293","160053","2021","16"
"294","160055","2021","6"
"295","160060","2021","63"
"296","160070","2021","8"
"297","160080","2021","14"
"298","170035","2021","1"
"299","170200","2021","2"
"300","170210","2021","23"
"301","170215","2021","1"
"302","170220","2021","6"
"303","170240","2021","4"
"304","170255","2021","5"
"305","170270","2021","1"
"306","170290","2021","4"
"307","170300","2021","2"
"308","170305","2021","1"
"309","170307","2021","1"
"310","170320","2021","3"
"311","170330","2021","2"
"312","170380","2021","5"
"313","170382","2021","1"
"314","170384","2021","8"
"315","170386","2021","1"
"316","170390","2021","2"
"317","170510","2021","1"
"318","170550","2021","9"
"319","170555","2021","3"
"320","170560","2021","2"
"321","170600","2021","1"
"322","170650","2021","1"
"323","170700","2021","2"
"324","170710","2021","1"
"325","170730","2021","5"
"326","170740","2021","9"
"327","170770","2021","2"
"328","170820","2021","11"
"329","170825","2021","1"
"330","170900","2021","11"
"331","170950","2021","15"
"332","170980","2021","2"
"333","171050","2021","7"
"334","171070","2021","2"
"335","171090","2021","3"
"336","171180","2021","1"
"337","171190","2021","15"
"338","171195","2021","1"
"339","171200","2021","2"
"340","171240","2021","2"
"341","171250","2021","1"
"342","171270","2021","1"
"343","171320","2021","2"
"344","171380","2021","2"
"345","171510","2021","4"
"346","171525","2021","2"
"347","171570","2021","1"
"348","171575","2021","4"
"349","171610","2021","12"
"350","171620","2021","3"
"351","171630","2021","1"
"352","171650","2021","5"
"353","171660","2021","5"
"354","171670","2021","2"
"355","171700","2021","1"
"356","171720","2021","1"
"357","171750","2021","2"
"358","171790","2021","5"
"359","171820","2021","11"
"360","171830","2021","1"
"361","171850","2021","4"
"362","171855","2021","2"
"363","171865","2021","1"
"364","171870","2021","1"
"365","171875","2021","1"
"366","171880","2021","5"
"367","171886","2021","2"
"368","171890","2021","3"
"369","171900","2021","1"
"370","172010","2021","2"
"371","172020","2021","10"
"372","172030","2021","1"
"373","172049","2021","1"
"374","172065","2021","2"
"375","172080","2021","5"
"376","172085","2021","3"
"377","172090","2021","4"
"378","172100","2021","27"
"379","172110","2021","7"
"380","172120","2021","13"
"381","172208","2021","2"
"382","172210","2021","5"
"383","210005","2021","22"
"384","210010","2021","8"
"385","210015","2021","6"
"386","210020","2021","3"
"387","210030","2021","25"
"388","210040","2021","3"
"389","210043","2021","17"
"390","210047","2021","10"
"391","210050","2021","6"
"392","210055","2021","4"
"393","210060","2021","74"
"394","210070","2021","10"
"395","210080","2021","8"
"396","210083","2021","8"
"397","210087","2021","19"
"398","210090","2021","26"
"399","210095","2021","67"
"400","210100","2021","5"
"401","210110","2021","4"
"402","210120","2021","38"
"403","210125","2021","3"
"404","210140","2021","28"
"405","210150","2021","11"
"406","210160","2021","166"
"407","210170","2021","23"
"408","210173","2021","9"
"409","210177","2021","3"
"410","210190","2021","5"
"411","210193","2021","1"
"412","210197","2021","1"
"413","210200","2021","13"
"414","210203","2021","32"
"415","210207","2021","5"
"416","210210","2021","15"
"417","210215","2021","1"
"418","210220","2021","35"
"419","210230","2021","25"
"420","210232","2021","46"
"421","210235","2021","15"
"422","210237","2021","1"
"423","210240","2021","1"
"424","210250","2021","15"
"425","210260","2021","7"
"426","210270","2021","8"
"427","210275","2021","6"
"428","210280","2021","7"
"429","210290","2021","17"
"430","210300","2021","92"
"431","210310","2021","3"
"432","210312","2021","1"
"433","210315","2021","17"
"434","210317","2021","10"
"435","210320","2021","82"
"436","210325","2021","2"
"437","210330","2021","86"
"438","210340","2021","41"
"439","210350","2021","60"
"440","210355","2021","18"
"441","210360","2021","35"
"442","210370","2021","10"
"443","210375","2021","7"
"444","210380","2021","6"
"445","210390","2021","17"
"446","210400","2021","5"
"447","210405","2021","15"
"448","210407","2021","2"
"449","210408","2021","54"
"450","210409","2021","16"
"451","210410","2021","9"
"452","210420","2021","13"
"453","210430","2021","5"
"454","210440","2021","9"
"455","210450","2021","2"
"456","210455","2021","13"
"457","210460","2021","15"
"458","210462","2021","4"
"459","210465","2021","3"
"460","210467","2021","4"
"461","210470","2021","3"
"462","210480","2021","173"
"463","210500","2021","13"
"464","210510","2021","17"
"465","210515","2021","10"
"466","210520","2021","6"
"467","210530","2021","96"
"468","210535","2021","36"
"469","210540","2021","21"
"470","210542","2021","9"
"471","210545","2021","6"
"472","210547","2021","150"
"473","210550","2021","10"
"474","210560","2021","8"
"475","210565","2021","2"
"476","210570","2021","24"
"477","210580","2021","5"
"478","210590","2021","7"
"479","210592","2021","10"
"480","210594","2021","2"
"481","210596","2021","13"
"482","210598","2021","4"
"483","210600","2021","7"
"484","210620","2021","8"
"485","210630","2021","4"
"486","210632","2021","10"
"487","210635","2021","4"
"488","210637","2021","18"
"489","210640","2021","13"
"490","210650","2021","13"
"491","210660","2021","37"
"492","210663","2021","4"
"493","210667","2021","2"
"494","210670","2021","14"
"495","210675","2021","1"
"496","210680","2021","2"
"497","210690","2021","12"
"498","210700","2021","10"
"499","210710","2021","4"
"500","210720","2021","5"
"501","210725","2021","3"
"502","210730","2021","3"
"503","210735","2021","14"
"504","210740","2021","3"
"505","210745","2021","1"
"506","210750","2021","10"
"507","210760","2021","4"
"508","210770","2021","18"
"509","210780","2021","24"
"510","210790","2021","10"
"511","210800","2021","21"
"512","210805","2021","16"
"513","210810","2021","16"
"514","210820","2021","4"
"515","210825","2021","11"
"516","210830","2021","23"
"517","210845","2021","12"
"518","210850","2021","9"
"519","210860","2021","18"
"520","210870","2021","8"
"521","210880","2021","5"
"522","210890","2021","3"
"523","210900","2021","7"
"524","210905","2021","2"
"525","210910","2021","19"
"526","210920","2021","4"
"527","210923","2021","6"
"528","210927","2021","15"
